timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.001,0.0
9,0.000,0.001,0.0
10,0.000,0.001,0.0
11,0.000,0.002,0.0
12,0.265,0.074,257.4
13,0.505,0.136,272.5
14,0.505,0.140,260.3
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.001,0.0
9,0.000,0.001,0.0
10,0.000,0.001,0.0
11,0.000,0.002,0.0
12,0.297,0.082,261.1
13,0.502,0.134,275.8
14,0.502,0.141,255.1
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.001,0.0
9,0.000,0.001,0.0
10,0.000,0.001,0.0
11,0.099,0.003,0.0
12,0.399,0.010,3745.2
13,0.503,0.018,2770.3
