timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.000,0.0
6,0.000,0.000,0.0
7,0.000,0.000,0.0
8,0.000,0.000,0.0
9,0.000,0.000,0.0
10,0.332,0.332,-0.0
11,1.099,1.099,0.0
12,1.163,1.163,0.0
13,0.935,0.935,0.0
14,0.782,0.782,0.0
15,0.756,0.756,-0.0
16,0.725,0.725,-0.0
17,0.823,0.823,-0.0
18,1.753,1.753,-0.0
19,2.533,2.547,-0.6
20,3.324,3.324,-0.0
21,4.119,4.119,-0.0
22,4.895,4.895,-0.0
23,5.011,5.011,-0.0
24,4.965,4.965,-0.0
25,4.966,4.966,0.0
26,4.966,4.966,0.0
27,4.670,4.801,-2.7
28,3.935,4.782,-17.7
29,3.149,4.783,-34.2
30,2.517,4.762,-47.1
31,1.665,4.759,-65.0
32,0.970,4.758,-79.6
33,0.838,4.754,-82.4
34,0.911,4.754,-80.8
35,0.860,4.763,-81.9
36,0.901,4.788,-81.2
37,0.901,4.792,-81.2
38,0.901,4.790,-81.2
39,0.901,4.790,-81.2
40,1.219,4.774,-74.5
41,1.891,4.950,-61.8
42,2.293,5.337,-57.0
43,2.476,5.476,-54.8
44,1.822,4.702,-61.3
45,1.119,4.144,-73.0
46,0.509,3.936,-87.1
47,0.582,3.679,-84.2
48,0.690,3.581,-80.7
49,0.830,3.475,-76.1
50,0.830,3.475,-76.1
51,0.830,3.475,-76.1
52,0.830,3.475,-76.1
53,0.830,3.475,-76.1
54,0.830,3.475,-76.1
55,0.830,3.475,-76.1
56,0.830,3.475,-76.1
57,0.830,3.475,-76.1
58,0.830,3.475,-76.1
59,0.830,3.475,-76.1
60,0.830,3.475,-76.1
61,0.830,3.475,-76.1
62,0.830,3.475,-76.1
63,0.830,3.475,-76.1
64,0.830,3.475,-76.1
65,0.830,3.475,-76.1
66,0.830,3.475,-76.1
67,0.830,3.475,-76.1
68,0.830,3.475,-76.1
69,0.830,3.475,-76.1
70,0.830,3.475,-76.1
71,0.830,3.475,-76.1
72,0.830,3.475,-76.1
73,0.830,3.475,-76.1
74,0.830,3.475,-76.1
75,0.830,3.475,-76.1
76,0.830,3.475,-76.1
77,0.830,3.475,-76.1
78,0.830,3.475,-76.1
79,0.830,3.475,-76.1
80,0.830,3.475,-76.1
81,0.830,3.475,-76.1
82,0.830,3.475,-76.1
83,0.830,3.475,-76.1
84,0.830,3.475,-76.1
85,0.830,3.475,-76.1
86,0.830,3.475,-76.1
87,0.830,3.475,-76.1
88,0.830,3.475,-76.1
89,0.830,3.475,-76.1
90,0.830,3.475,-76.1
91,0.830,3.475,-76.1
92,0.830,3.475,-76.1
93,0.830,3.475,-76.1
94,0.830,3.475,-76.1
95,0.830,3.475,-76.1
96,0.830,3.475,-76.1
97,0.830,3.475,-76.1
98,0.830,3.475,-76.1
99,0.830,3.475,-76.1
100,0.830,3.475,-76.1
101,0.830,3.475,-76.1
102,0.830,3.475,-76.1
103,0.830,3.475,-76.1
104,0.830,3.475,-76.1
105,0.830,3.475,-76.1
106,0.830,3.475,-76.1
107,0.830,3.475,-76.1
108,0.830,3.475,-76.1
109,0.830,3.475,-76.1
